id,type,a,b,c,d,e
0163,axial,2,2,4,-1,-
0164,axial,2,5,0,1,-
0165,axial,2,2,6,4,2
0166,axial,3,1,3,2,-
0167,axial,3,0,1,2,2
0168,axial,-1,4,0,3,1
0169,axial,6,2,5,4,-
0170,axial,1,-2,1,9,-
0171,axial,2,4,4,4,-
0172,axial,3,1,1,2,-
0173,axial,4,4,6,3,-
0174,axial,1,1,9,-1,-
0175,axial,3,4,5,5,-
0176,axial,-2,8,-,-,-
0177,axial,2,2,2,1,-
0178,axial,-2,-2,4,9,3
0179,axial,5,6,4,9,-
0180,axial,1,7,2,2,1
0181,smd,-,-,-,-,-
0182,axial,8,8,8,-,-
0183,axial,2,2,0,4,1
0184,axial,5,6,0,4,2
0185,axial,1,1,1,4,2
0186,axial,1,-2,1,-2,-
0187,axial,2,2,1,1,-
0188,axial,4,3,5,1,-
0189,axial,9,9,-2,4,-1
0190,axial,4,7,5,4,-1
0191,axial,8,8,8,-,-
0192,axial,1,1,-2,8,9
0193,axial,1,5,0,9,-
0194,axial,7,5,1,4,-
0195,axial,3,1,8,9,-2
0196,axial,5,7,2,0,1
0197,axial,9,1,0,4,-
0198,axial,1,2,0,1,-
0199,axial,2,7,1,2,-
0200,axial,6,0,4,2,1
0201,axial,1,2,5,-1,-
0202,axial,5,4,4,1,-
0203,axial,8,9,8,3,2
0204,axial,2,6,1,4,1
0205,axial,1,1,0,2,-
0206,axial,0,5,5,2,-
0207,axial,2,3,2,3,2
0208,axial,8,-,-,-,-
0209,axial,2,2,2,4,-
0210,axial,8,-,-,-,-
0211,axial,8,2,8,0,8
0212,axial,4,7,4,2,-
0213,axial,2,7,4,0,1
0214,smd,-,-,-,-,-
0215,axial,-2,2,1,4,-
0216,axial,7,0,2,1,1
0217,axial,6,1,2,2,-
0218,axial,7,5,1,8,-
0219,axial,8,2,1,-1,-
0220,axial,2,4,4,8,-
0221,axial,1,7,1,2,-
0222,axial,9,8,4,8,6
0223,axial,5,9,9,8,2
0224,axial,-1,7,5,4,1
0225,axial,3,0,4,3,-
0226,axial,1,1,3,2,-
0227,axial,1,1,1,2,-
0228,axial,8,8,-,-,-
0229,axial,0,6,4,2,-
0230,axial,9,5,4,2,-
0231,axial,9,1,-2,4,9
0232,axial,1,1,3,4,2
0233,axial,1,1,-2,-,-
0234,axial,5,7,4,-1,-
0235,axial,9,2,6,3,-
0236,axial,2,0,3,6,2
0237,smd,-,-,-,-,-
0238,axial,4,0,0,1,-
0239,axial,7,5,0,4,1
0240,axial,2,4,0,1,1
0241,axial,4,5,4,2,-
0242,axial,1,0,3,1,-
0243,axial,8,1,1,1,-
0244,axial,8,2,4,4,-
0245,axial,8,8,8,8,-
0246,axial,5,1,0,2,1
0247,axial,3,0,2,1,-
0248,axial,1,0,5,8,-
0249,axial,8,2,3,4,-
0250,axial,1,5,3,9,-
0251,axial,1,1,-1,8,-
0252,axial,2,1,-1,-,-
0253,axial,7,8,2,4,-
0254,axial,1,4,-1,-1,-
0255,axial,1,0,1,8,-
0256,smd,-,-,-,-,-
0257,axial,4,7,0,2,1
0258,axial,1,4,0,0,1
0259,smd,-,-,-,-,-
0260,axial,5,1,1,2,2
0261,axial,3,9,4,8,-
0262,axial,1,2,4,3,2
0263,axial,2,1,0,-1,2
0264,axial,2,0,5,0,1
0265,axial,2,4,0,1,1
0266,axial,2,4,3,4,-
0267,axial,1,1,-1,8,-
0268,axial,8,6,9,2,8
0269,axial,2,1,7,-1,1
0270,axial,2,4,4,2,-
0271,axial,9,-,-,-,-
0272,axial,7,5,4,4,-1
0273,axial,1,1,3,9,-
0274,axial,1,5,5,1,-
0275,axial,2,0,8,4,-
0276,axial,1,7,4,3,1
0277,axial,1,3,-1,4,-
0278,axial,2,4,3,4,-
0279,axial,1,4,-1,4,-
0280,axial,2,4,3,2,-
0281,axial,4,7,5,-,-
0282,axial,3,0,3,2,-
0283,axial,2,7,1,2,1
0284,axial,4,3,3,4,-
0285,smd,-,-,-,-,-
0286,axial,1,8,1,-,-
0287,axial,8,1,5,8,9
0288,axial,1,2,4,2,-
0289,axial,1,4,0,2,1
0290,axial,1,9,4,9,-
0291,smd,-,-,-,-,-
0292,axial,9,2,6,1,-
0293,axial,8,8,-2,-,-
0294,axial,1,4,7,4,1
0295,axial,2,0,0,8,-
0296,axial,-2,8,-,-,-
0297,axial,1,0,0,2,-
0298,axial,8,2,4,8,8
0299,smd,-,-,-,-,-
0300,axial,6,8,2,4,-
0301,axial,3,0,2,4,-
0302,axial,8,4,4,1,-
0303,axial,4,1,1,-,-
0304,smd,-,-,-,-,-
0305,axial,1,2,8,-1,-
0306,axial,8,8,-,-,-
0307,axial,1,7,4,3,2
0308,axial,3,1,4,2,-
0309,axial,3,0,5,-1,-
0310,axial,3,9,4,-1,-
0311,axial,1,1,3,1,2
0312,axial,9,9,-2,-,-
0313,axial,1,9,1,-,-
0314,axial,1,1,2,5,-1
0315,axial,1,6,4,-,-
0316,axial,1,1,2,1,-
0317,axial,1,6,5,-1,2
0318,axial,1,-,-,-,-
0319,axial,1,6,3,9,-
0320,axial,1,4,5,6,3
0321,axial,1,2,5,-1,-
0322,axial,1,6,0,2,2
0323,axial,3,1,6,1,2
0324,axial,1,0,1,8,-
0325,axial,1,1,5,7,4
0326,axial,8,9,8,9,9
0327,axial,3,3,2,1,-
0328,axial,1,2,1,7,1
0329,axial,-2,2,4,-1,-
0330,axial,2,7,4,9,-
0331,axial,1,3,4,3,6
0332,axial,2,1,5,4,1
0333,axial,-2,-2,-2,-,-
0334,axial,8,8,-,-,-
0335,axial,1,0,7,4,2
0336,axial,1,2,3,9,-
0337,axial,6,1,1,1,-
0338,axial,1,5,3,4,-
0339,smd,-,-,-,-,-
0340,axial,1,7,3,4,1
0341,axial,-2,-,-,-,-
0342,axial,3,9,4,-,-
0343,axial,6,2,0,-1,-
0344,axial,3,8,2,4,-
0345,axial,8,-2,-,-,-
0346,axial,4,4,2,3,1
0347,axial,6,6,5,4,2
0348,axial,1,2,0,0,2
0349,axial,4,1,0,3,-
0350,axial,8,8,9,8,-
0351,axial,2,0,4,1,-
0352,axial,2,2,0,1,1
0353,axial,1,-2,8,8,1
0354,axial,8,-,-,-,-
0355,axial,8,8,6,-,-
0356,axial,7,7,5,2,1
0357,axial,1,2,2,1,-
0358,axial,5,1,4,4,-
0359,axial,1,7,0,8,-
0360,axial,9,-,-,-,-
0361,axial,6,1,4,1,-
0362,axial,8,-,-,-,-
0363,axial,5,6,2,4,-
0364,axial,2,2,0,-1,1
0365,smd,-,-,-,-,-
0366,axial,1,2,4,4,-
0367,axial,2,2,2,1,-
0368,axial,1,1,1,2,-
0369,axial,4,1,2,1,-
0370,axial,4,7,0,-1,-
0371,axial,3,0,3,-,-
0372,axial,4,1,1,-,-
0373,axial,2,1,0,0,1
0374,axial,4,3,1,5,-
0375,axial,3,0,1,1,-
0376,axial,9,9,-,-,-
0377,axial,3,4,4,1,-
0378,axial,1,3,2,1,-
0379,axial,1,2,0,4,2
0380,axial,1,-1,-1,8,-
0381,axial,9,6,8,1,-2
0382,axial,4,4,1,2,2
0383,axial,2,7,4,-,-
0384,axial,4,5,3,3,-
0385,axial,1,-1,-,-,-
0386,axial,8,8,8,-,-
0387,smd,-,-,-,-,-
0388,axial,8,8,-,-,-
0389,axial,6,-2,3,1,-
0390,axial,-1,4,4,5,7
0391,axial,4,5,1,4,1
0392,axial,2,7,1,-1,-
0393,axial,9,4,7,4,-
0394,axial,8,8,8,8,-
0395,axial,4,4,2,1,2
0396,axial,8,9,8,-,-
0397,axial,2,1,2,0,1
0398,axial,2,0,-1,-,-
0399,axial,1,0,4,-1,-
0400,axial,1,4,4,2,-
0401,axial,4,4,-2,-1,-
0402,axial,2,2,9,4,-
0403,axial,1,6,5,0,2
0404,axial,-2,-,-,-,-
0405,axial,-2,4,1,1,-
0406,axial,1,7,0,-1,1
0407,axial,3,3,3,9,-
0408,axial,1,2,3,2,-
0409,axial,1,6,2,4,2
0410,axial,4,3,2,3,1
0411,axial,-2,9,9,-,-
0412,axial,5,1,0,4,1
0413,axial,6,6,6,6,-
0414,axial,1,0,0,4,2
0415,axial,1,1,0,4,-
0416,axial,-2,-,-,-,-
0417,axial,8,4,6,3,-
0418,axial,6,4,2,1,-
0419,axial,1,0,3,2,-
0420,axial,3,0,2,-1,-
0421,axial,5,1,1,2,-
0422,axial,3,0,5,-1,-
0423,axial,8,6,8,9,-
0424,axial,8,6,1,9,8
0425,axial,1,-,-,-,-
0426,axial,1,1,1,1,-
0427,axial,1,-,-,-,-
0428,axial,3,0,3,-2,-
0429,axial,7,5,2,8,-
0430,axial,8,9,8,0,3
0431,axial,8,2,3,-,-
0432,axial,8,6,-2,3,9
0433,axial,2,2,5,-2,-
0434,smd,-,-,-,-,-
0435,axial,1,3,1,-1,-
0436,axial,8,9,8,-,-
0437,axial,3,6,5,0,2
0438,axial,3,6,4,9,-
0439,axial,-2,-2,-2,9,-
0440,axial,1,-1,8,8,-
0441,axial,3,6,1,9,-
0442,smd,-,-,-,-,-
0443,axial,1,1,5,1,1
0444,axial,9,9,9,-,-
0445,axial,1,4,0,4,3
0446,axial,3,7,7,2,-
0447,axial,2,7,0,1,2
0448,axial,5,5,-2,-2,8
0449,axial,2,0,4,9,-
0450,axial,4,7,4,4,-
0451,axial,6,9,9,9,6
0452,axial,4,3,2,2,-
0453,axial,1,-2,1,-,-
0454,axial,8,8,9,4,6
0455,axial,1,8,0,1,-
0456,axial,2,7,1,1,-
0457,axial,1,6,3,-1,-
0458,smd,-,-,-,-,-
0459,axial,5,6,0,4,1
0460,axial,1,1,8,-1,-
0461,axial,2,0,1,2,-
0462,axial,7,5,0,4,1
0463,axial,8,1,8,0,-2
0464,axial,-2,1,3,-2,-
0465,axial,6,9,6,6,-
0466,axial,3,7,4,4,2
0467,axial,6,2,3,-1,-
0468,smd,-,-,-,-,-
0469,axial,1,5,-1,8,-
0470,axial,8,9,8,-,-
0471,axial,8,-2,-,-,-
0472,axial,5,1,4,-2,-
0473,axial,5,7,0,-1,-
0474,axial,1,3,0,4,-
0475,axial,1,1,0,-,-
0476,axial,1,1,8,-2,-
0477,axial,1,6,3,-1,-
0478,axial,3,7,4,3,1
0479,axial,2,7,7,0,1
0480,axial,1,1,-2,-1,-
0481,axial,1,2,3,-,-
0482,axial,8,8,-,-,-
0483,axial,1,4,0,1,-
0484,axial,3,3,4,4,-
0485,axial,2,3,7,-1,1
0486,axial,3,6,2,9,-
0487,smd,-,-,-,-,-
0488,axial,2,7,3,-1,-
0489,smd,-,-,-,-,-
0490,axial,8,1,8,1,-
0491,axial,4,3,0,4,2
0492,axial,8,-,-,-,-
0493,axial,1,1,-2,8,8
0494,axial,6,9,2,2,-
0495,axial,1,4,7,0,1
0496,axial,1,0,0,1,-
0497,axial,0,3,3,2,-
0498,axial,9,9,9,8,-
0499,axial,-2,6,8,9,6
0500,axial,0,2,2,1,-
0501,axial,4,5,1,1,1
0502,axial,1,0,4,9,-
0503,axial,8,8,-,-,-
0504,axial,1,2,4,0,1
0505,axial,2,4,5,-2,-
0506,axial,2,0,4,-2,-
0507,smd,-,-,-,-,-
0508,axial,5,7,7,2,-
0509,axial,3,1,5,8,-
0510,axial,5,2,-1,4,-
0511,axial,-2,-,-,-,-
0512,axial,8,-,-,-,-
0513,axial,2,2,1,2,2
0514,axial,8,3,6,4,-
0515,axial,1,0,2,8,-
0516,axial,1,6,4,9,-
0517,axial,1,1,7,1,1
0518,axial,1,6,5,-,-
0519,axial,1,3,5,9,-
0520,axial,2,4,0,4,-
0521,axial,2,2,4,4,-
0522,axial,1,1,0,2,2
0523,axial,1,1,8,1,-
0524,axial,8,-,-,-,-
0525,axial,6,2,0,4,1
0526,axial,0,7,7,1,-
0527,axial,2,2,-1,-,-
0528,axial,1,1,1,1,-
0529,axial,2,2,-2,9,-
0530,axial,7,7,0,1,-
0531,smd,-,-,-,-,-
0532,axial,7,7,8,-,-
0533,axial,9,1,2,6,-
0534,smd,-,-,-,-,-
0535,axial,8,4,-2,8,-
0536,axial,8,0,0,8,8
0537,axial,3,6,6,2,-
0538,axial,-2,2,4,8,9
0539,axial,1,1,2,1,1
0540,axial,5,6,0,2,1
0541,axial,7,5,4,4,-
0542,axial,3,0,0,2,1
0543,axial,1,2,5,4,-
0544,axial,4,3,2,4,1
0545,axial,9,-2,9,-,-
0546,axial,8,8,-,-,-
0547,axial,2,2,1,4,-
0548,axial,1,2,4,-1,-
0549,axial,1,-,-,-,-
0550,axial,1,1,9,4,-
0551,axial,8,-,-,-,-
0552,axial,3,4,0,3,1
0553,axial,1,-,-,-,-
0554,axial,1,1,-2,9,-
0555,axial,9,-,-,-,-
0556,axial,1,2,0,0,2
0557,axial,0,1,1,1,-
0558,axial,2,4,1,2,-
0559,axial,1,7,0,2,-
0560,axial,9,1,4,0,-
0561,axial,9,4,1,1,-
0562,axial,4,7,3,4,-
0563,axial,0,2,2,2,-
0564,smd,-,-,-,-,-
0565,axial,2,6,2,1,-
0566,axial,3,3,2,-1,-
0567,axial,6,2,0,9,-
0568,axial,3,2,3,2,-
0569,axial,1,0,5,4,2
0570,axial,1,5,0,-1,-
0571,axial,3,6,0,2,1
0572,axial,-2,-,-,-,-
0573,axial,-1,3,5,7,-
0574,axial,6,3,4,3,2
0575,axial,8,-,-,-,-
0576,axial,1,7,3,1,2
0577,axial,2,7,4,1,-
0578,axial,5,7,7,0,1
0579,axial,6,1,0,2,-
0580,axial,1,5,1,1,-
0581,axial,4,1,1,1,-
0582,axial,3,7,4,1,3
0583,axial,8,8,8,-,-
0584,axial,6,0,3,2,-
0585,axial,8,-,-,-,-
0586,axial,4,0,-1,8,-
0587,axial,4,7,0,-,-
0588,axial,1,6,1,1,-
0589,axial,1,1,5,2,1
0590,axial,5,6,1,8,-
0591,axial,1,2,0,2,-
0592,axial,4,7,0,2,1
0593,axial,4,9,2,2,-
0594,smd,-,-,-,-,-
0595,axial,5,4,1,1,-
0596,axial,1,-,-,-,-
0597,axial,-2,-,-,-,-
0598,axial,6,1,2,1,-
0599,axial,9,4,6,1,-
0600,axial,1,0,4,1,-
0601,axial,6,2,1,4,-
0602,axial,6,8,9,-,-
0603,axial,8,-,-,-,-
0604,axial,6,2,3,-,-
0605,smd,-,-,-,-,-
0606,axial,4,5,3,2,-
0607,axial,1,1,1,1,-
0608,axial,2,1,5,1,-
0609,smd,-,-,-,-,-
0610,axial,2,7,5,-,-
0611,axial,2,2,0,-1,1
0612,axial,8,9,8,-,-
0613,axial,2,6,7,1,2
0614,axial,7,7,3,2,1
0615,axial,1,1,1,8,-
0616,axial,1,0,0,4,1
0617,axial,1,0,3,1,-
0618,axial,8,-2,2,-,-
0619,axial,7,6,2,4,-1
0620,axial,1,6,1,-1,-
0621,axial,2,4,0,9,-
0622,axial,1,0,1,8,-
0623,smd,-,-,-,-,-
0624,axial,1,5,0,4,2
0625,axial,8,-,-,-,-
0626,axial,3,3,4,3,-
0627,axial,4,5,3,2,1
0628,smd,-,-,-,-,-
0629,axial,1,6,4,1,-
0630,axial,1,0,0,4,2
0631,axial,4,3,0,4,4
0632,axial,0,6,1,1,-
0633,axial,3,0,2,-2,-
0634,axial,-2,1,-1,1,-
0635,axial,8,8,8,-,-
0636,axial,1,1,2,-1,-
0637,axial,1,1,-2,1,-
0638,axial,3,3,5,4,-
0639,axial,1,1,0,4,1
0640,axial,2,2,3,7,-
0641,axial,3,7,4,4,3
0642,axial,4,3,3,-1,-
0643,axial,3,1,6,4,2
0644,axial,-2,1,1,-1,-
0645,axial,3,0,0,4,2
0646,axial,5,6,2,-2,-
0647,axial,7,5,3,-2,-
0648,axial,1,1,5,2,1
0649,axial,1,-2,-1,4,-
0650,axial,8,9,8,9,8
0651,axial,8,2,4,4,-
0652,axial,8,8,9,-2,-
0653,axial,-2,-,-,-,-
0654,axial,1,1,0,2,2
0655,smd,-,-,-,-,-
0656,axial,9,0,1,1,-
0657,axial,8,6,-,-,-
0658,axial,3,1,6,0,1
0659,smd,-,-,-,-,-
0660,axial,1,7,7,2,-
0661,axial,3,3,-2,-,-
0662,axial,6,1,0,3,-
0663,axial,8,-2,8,-,-
0664,axial,3,3,0,-2,-
0665,axial,2,4,-,-,-
0666,axial,6,2,3,9,-
0667,axial,2,7,4,2,-
0668,axial,1,-,-,-,-
0669,axial,6,2,1,-1,-
0670,axial,8,-,-,-,-
0671,axial,2,1,5,1,2
0672,smd,-,-,-,-,-
0673,axial,1,7,2,2,-
0674,axial,4,2,2,4,1
0675,axial,1,2,7,3,1
0676,axial,3,-2,-2,9,2
0677,axial,1,1,3,9,-
0678,axial,2,0,1,1,-
0679,axial,1,6,5,2,1
0680,smd,-,-,-,-,-
0681,axial,1,2,2,-,-
0682,axial,8,4,-1,1,-
0683,axial,3,0,1,2,-
0684,axial,2,7,-1,-1,-
0685,axial,9,8,9,1,1
0686,axial,1,0,5,-1,-
0687,axial,8,8,-,-,-
0688,axial,4,4,2,4,2
0689,axial,4,3,0,4,-
0690,axial,9,0,4,2,-
0691,axial,1,2,-1,-1,-
0692,axial,1,7,5,1,2
0693,axial,1,2,7,2,2
0694,axial,5,1,6,2,2
0695,axial,2,7,4,1,-
0696,axial,3,3,2,0,1
0697,axial,8,-,-,-,-
0698,axial,7,1,5,0,1
0699,axial,1,1,-2,-,-
0700,axial,2,7,3,4,-
0701,axial,1,6,2,4,2
0702,axial,4,1,2,4,2
0703,axial,5,6,1,9,-
0704,axial,-2,-2,8,-,-
0705,axial,4,3,0,9,-
0706,axial,1,5,1,-,-
0707,axial,9,-2,-2,0,8
0708,axial,2,0,0,5,-
0709,axial,6,4,9,8,9
0710,axial,9,-,-,-,-
0711,axial,-2,9,8,9,8
0712,axial,3,7,4,1,2
0713,axial,3,9,1,-1,-
0714,axial,7,5,1,9,-
0715,axial,1,3,3,2,-
0716,axial,8,-,-,-,-
0717,axial,4,0,2,1,2
0718,smd,-,-,-,-,-
0719,axial,2,4,4,-,-
0720,axial,2,0,4,4,-
0721,axial,1,1,2,1,-
0722,axial,4,7,-1,4,-
0723,axial,1,-,-,-,-
0724,axial,1,5,0,2,-
0725,axial,4,4,4,2,-
0726,axial,8,6,8,6,-2
0727,axial,1,3,3,4,-
0728,axial,9,1,2,4,1
0729,axial,1,2,2,2,-
0730,axial,9,-1,-1,-1,1
0731,axial,3,2,4,4,1
0732,axial,4,7,2,9,-
0733,axial,2,7,5,-2,-
0734,axial,8,8,-,-,-
0735,axial,9,1,4,8,9
0736,axial,8,1,8,1,-
0737,axial,1,6,4,4,-
0738,axial,5,1,2,9,-
0739,axial,3,9,5,8,9
0740,axial,6,2,4,-2,-
0741,axial,1,0,4,-2,-
0742,axial,2,3,6,6,-
0743,axial,8,8,-,-,-
0744,axial,2,2,3,9,-
0745,axial,2,7,3,9,-
0746,axial,8,9,8,8,-
0747,axial,1,2,2,2,-
0748,smd,-,-,-,-,-
0749,axial,6,2,1,4,-
0750,axial,1,1,4,9,-
0751,axial,2,0,0,2,-
0752,axial,8,8,-,-,-
0753,axial,1,1,2,1,-
0754,axial,8,6,6,9,9
0755,axial,8,1,9,4,-2
0756,axial,1,9,1,-2,-
0757,axial,-2,9,-,-,-
0758,axial,4,2,2,1,1
0759,axial,2,1,0,1,1
0760,axial,8,-2,8,-,-
0761,smd,-,-,-,-,-
0762,axial,9,1,2,4,-
0763,axial,2,7,4,-,-
0764,axial,2,3,8,-1,-
0765,axial,1,-,-,-,-
0766,axial,-2,-,-,-,-
0767,axial,1,8,1,-,-
0768,axial,2,7,0,1,2
0769,axial,9,3,6,2,-
0770,axial,6,1,1,1,-
0771,axial,1,1,-2,1,-
0772,axial,1,7,0,1,-
0773,axial,1,2,2,9,-
0774,axial,1,2,0,-1,-
0775,axial,9,5,6,5,-
0776,axial,3,6,1,9,-
0777,axial,2,1,4,5,-
0778,smd,-,-,-,-,-
0779,axial,9,-2,-,-,-
0780,axial,1,-2,3,-,-
0781,axial,9,-,-,-,-
0782,axial,5,6,0,4,2
0783,axial,2,7,2,-,-
0784,axial,1,5,-1,8,-
0785,axial,1,6,6,2,-
0786,axial,4,5,6,1,-
0787,axial,1,5,4,4,-
0788,axial,1,1,5,8,-
0789,axial,1,7,0,2,-
0790,axial,7,5,2,-,-
0791,axial,2,2,0,3,-
0792,axial,2,2,4,2,-
0793,axial,6,1,4,1,-
0794,axial,4,1,4,1,-
0795,axial,5,1,-1,-1,-
0796,axial,9,7,3,2,-
0797,axial,8,-,-,-,-
0798,axial,7,8,-1,-,-
0799,axial,2,0,6,7,5
0800,axial,1,1,3,9,-
0801,axial,3,9,8,4,8
0802,axial,6,2,2,1,-
0803,axial,9,8,1,8,6
0804,axial,3,3,9,4,-
0805,axial,4,5,4,1,-
0806,axial,9,4,7,2,-
0807,axial,1,0,0,2,2
0808,axial,1,0,4,4,-
0809,axial,1,0,1,-1,-
0810,axial,-2,1,5,-1,-
0811,axial,1,2,7,3,2
0812,axial,1,1,-2,2,-
0813,axial,2,2,2,1,-
0814,axial,1,0,2,3,1
0815,axial,5,4,-1,1,-
0816,axial,2,3,2,2,2
0817,axial,-2,-,-,-,-
0818,axial,1,3,0,9,-
0819,axial,-2,1,1,-1,-
0820,axial,1,8,1,-,-
0821,axial,7,1,5,4,2
0822,axial,-2,1,-2,1,-2
0823,axial,1,-2,1,8,9
0824,axial,1,4,0,0,1
0825,axial,1,5,5,4,-
0826,axial,6,0,3,1,-
0827,axial,4,7,3,4,-
0828,axial,2,0,3,1,-
0829,axial,8,8,5,7,8
0830,axial,4,4,5,1,-
0831,axial,3,3,4,4,-
0832,axial,9,8,-2,-,-
0833,smd,-,-,-,-,-
0834,axial,1,3,3,1,-
0835,axial,6,8,9,8,-
0836,axial,1,4,1,0,1
0837,axial,1,8,9,8,6
0838,axial,7,1,5,4,2
0839,axial,0,1,3,2,-
0840,axial,1,7,7,5,4
0841,axial,5,1,0,4,1
0842,axial,4,4,0,2,-
0843,axial,1,1,5,4,1
0844,axial,2,2,9,8,9
0845,axial,2,2,0,2,2
0846,axial,4,1,1,8,-
0847,axial,1,2,1,1,2
0848,axial,1,1,7,4,3
0849,smd,-,-,-,-,-
0850,axial,2,2,4,4,-
0851,axial,1,0,0,2,-
0852,axial,1,3,2,2,-
0853,axial,6,8,0,8,9
0854,axial,1,6,3,9,-
0855,axial,1,4,-1,-2,-
0856,axial,1,4,4,1,-
0857,axial,3,3,0,0,2
0858,axial,0,0,3,2,2
