id,type,a,b,c,d,e
290,axial,1,9,4,9,-
291,smd,1331,-,-,-,-
292,axial,9,2,6,1,-
293,smd,821,-,-,-,-
294,axial,1,4,7,4,1
295,axial,2,0,0,8,-
296,smd,304,-,-,-,-
297,axial,1,0,0,2,-
298,axial,8,2,4,8,8
299,smd,-,-,-,-,-
300,axial,6,8,2,4,-
301,axial,3,0,2,4,-
302,axial,8,4,4,1,-
303,axial,4,1,1,-,-
304,smd,-,-,-,-,-
305,axial,1,2,8,-1,-
306,smd,1691,-,-,-,-
307,axial,1,7,4,3,2
308,axial,3,1,4,2,-
309,axial,3,0,5,-1,-
310,axial,3,9,4,-1,-
311,axial,1,1,3,1,2
312,axial,9,9,-2,-,-
313,smd,512,-,-,-,-
314,axial,1,1,2,5,-1
315,axial,1,6,4,-,-
316,axial,1,1,2,1,-
317,axial,1,6,5,-1,2
318,smd,475,-,-,-,-
319,axial,1,6,3,9,-
320,axial,1,4,5,6,3
321,axial,1,2,5,-1,-
322,axial,1,6,0,2,2
323,axial,3,1,6,1,2
324,axial,1,0,1,8,-
325,axial,1,1,5,7,4
326,smd,5104,-,-,-,-
327,axial,3,3,2,1,-
328,axial,1,2,1,7,1
329,axial,-2,2,4,-1,-
330,axial,2,7,4,9,-
331,axial,1,3,4,3,6
332,axial,2,1,5,4,1
333,axial,-2,-2,-2,-,-
334,smd,0059,-,-,-,-
335,axial,1,0,7,4,2
336,axial,1,2,3,9,-
337,axial,6,1,1,1,-
338,axial,1,5,3,4,-
339,smd,-,-,-,-,-
340,axial,1,7,3,4,1
341,smd,081,-,-,-,-
342,axial,3,9,4,-,-
343,axial,6,2,0,-1,-
344,axial,3,8,2,4,-
345,axial,8,-2,-,-,-
346,axial,4,4,2,3,1
347,axial,6,6,5,4,2
348,axial,1,2,0,0,2
349,axial,4,1,0,3,-
350,smd,360,-,-,-,-
351,axial,2,0,4,1,-
352,axial,2,2,0,1,1
353,axial,1,-2,8,8,1
354,axial,8,-,-,-,-
355,smd,2102,-,-,-,-
356,axial,7,7,5,2,1
357,axial,1,2,2,1,-
358,axial,5,1,4,4,-
359,axial,1,7,0,8,-
360,smd,475,-,-,-,-
361,axial,6,1,4,1,-
362,smd,1602,-,-,-,-
363,axial,5,6,2,4,-
364,axial,2,2,0,-1,1
365,smd,1870,-,-,-,-
366,axial,1,2,4,4,-
367,axial,2,2,2,1,-
368,axial,1,1,1,2,-
369,axial,4,1,2,1,-
370,axial,4,7,0,-1,-
371,axial,3,0,3,-,-
372,axial,4,1,1,-,-
373,axial,2,1,0,0,1
374,axial,4,3,1,5,-
375,axial,3,0,1,1,-
376,smd,202,-,-,-,-
377,axial,3,4,4,1,-
378,axial,1,3,2,1,-
379,axial,1,2,0,4,2
380,axial,1,-1,-1,8,-
381,axial,9,6,8,1,-2
382,axial,4,4,1,2,2
383,axial,2,7,4,-,-
384,axial,4,5,3,3,-
385,axial,1,-1,-,-,-
386,smd,223,-,-,-,-
387,smd,2000,-,-,-,-
388,smd,1541,-,-,-,-
389,axial,6,-2,3,1,-
390,axial,-1,4,4,5,7
391,axial,4,5,1,4,1
392,axial,2,7,1,-1,-
393,axial,9,4,7,4,-
394,axial,8,8,8,8,-
395,axial,4,4,2,1,2
396,axial,8,9,8,-,-
397,axial,2,1,2,0,1
398,axial,2,0,-1,-,-
399,axial,1,0,4,-1,-
400,axial,1,4,4,2,-
401,axial,4,4,-2,-1,-
402,axial,2,2,9,4,-
403,axial,1,6,5,0,2
404,smd,201,-,-,-,-
405,axial,-2,4,1,1,-
406,axial,1,7,0,-1,1
407,axial,3,3,3,9,-
408,axial,1,2,3,2,-
409,axial,1,6,2,4,2
410,axial,4,3,2,3,1
411,smd,620,-,-,-,-
412,axial,5,1,0,4,1
413,axial,6,6,6,6,-
414,axial,1,0,0,4,2
415,axial,1,1,0,4,-
416,smd,1823,-,-,-,-
417,axial,8,4,6,3,-
418,axial,6,4,2,1,-
419,axial,1,0,3,2,-
420,axial,3,0,2,-1,-
421,axial,5,1,1,2,-
422,axial,3,0,5,-1,-
423,axial,8,6,8,9,-
424,axial,8,6,1,9,8
425,smd,1133,-,-,-,-
426,axial,1,1,1,1,-
427,smd,22R6,-,-,-,-
428,axial,3,0,3,-2,-
429,axial,7,5,2,8,-
430,axial,8,9,8,0,3
431,axial,8,2,3,-,-
432,axial,8,6,-2,3,9
433,axial,2,2,5,-2,-
434,smd,1424,-,-,-,-
435,axial,1,3,1,-1,-
436,smd,161,-,-,-,-
437,axial,3,6,5,0,2
438,axial,3,6,4,9,-
439,axial,-2,-2,-2,9,-
440,axial,1,-1,8,8,-
441,axial,3,6,1,9,-
442,smd,1873,-,-,-,-
443,axial,1,1,5,1,1
444,smd,2554,-,-,-,-
445,axial,1,4,0,4,3
446,axial,3,7,7,2,-
447,axial,2,7,0,1,2
448,axial,5,5,-2,-2,8
449,axial,2,0,4,9,-
450,axial,4,7,4,4,-
451,smd,1001,-,-,-,-
452,axial,4,3,2,2,-
453,smd,200,-,-,-,-
454,axial,8,8,9,4,6
455,axial,1,8,0,1,-
456,axial,2,7,1,1,-
457,axial,1,6,3,-1,-
458,smd,435,-,-,-,-
459,axial,5,6,0,4,1
460,axial,1,1,8,-1,-
461,axial,2,0,1,2,-
462,axial,7,5,0,4,1
463,axial,8,1,8,0,-2
464,axial,-2,1,3,-2,-
465,smd,393,-,-,-,-
466,axial,3,7,4,4,2
467,axial,6,2,3,-1,-
468,smd,-,-,-,-,-
469,axial,1,5,-1,8,-
470,smd,34R8,-,-,-,-
471,axial,8,-2,-,-,-
472,axial,5,1,4,-2,-
473,axial,5,7,0,-1,-
474,axial,1,3,0,4,-
475,axial,1,1,0,-,-
476,axial,1,1,8,-2,-
477,axial,1,6,3,-1,-
478,axial,3,7,4,3,1
479,axial,2,7,7,0,1
480,axial,1,1,-2,-1,-
481,axial,1,2,3,-,-
482,smd,911,-,-,-,-
483,axial,1,4,0,1,-
484,axial,3,3,4,4,-
485,axial,2,3,7,-1,1
486,axial,3,6,2,9,-
487,smd,-,-,-,-,-
488,axial,2,7,3,-1,-
489,smd,-,-,-,-,-
490,smd,182,-,-,-,-
491,axial,4,3,0,4,2
492,axial,8,-,-,-,-
493,axial,1,1,-2,8,8
494,axial,6,9,2,2,-
495,axial,1,4,7,0,1
496,axial,1,0,0,1,-
497,axial,0,3,3,2,-
498,smd,9762,-,-,-,-
499,smd,121,-,-,-,-
500,axial,0,2,2,1,-
501,axial,4,5,1,1,1
502,axial,1,0,4,9,-
503,axial,8,8,-,-,-
504,axial,1,2,4,0,1
505,axial,2,4,5,-2,-
506,axial,2,0,4,-2,-
507,smd,245,-,-,-,-
508,axial,5,7,7,2,-
509,axial,3,1,5,8,-
510,axial,5,2,-1,4,-
511,axial,-2,-,-,-,-
512,smd,132,-,-,-,-
513,axial,2,2,1,2,2
514,axial,8,3,6,4,-
515,axial,1,0,2,8,-
516,axial,1,6,4,9,-
517,axial,1,1,7,1,1
518,axial,1,6,5,-,-
519,axial,1,3,5,9,-
520,axial,2,4,0,4,-
521,axial,2,2,4,4,-
522,axial,1,1,0,2,2
523,smd,332,-,-,-,-
524,axial,8,-,-,-,-
525,axial,6,2,0,4,1
526,axial,0,7,7,1,-
527,axial,2,2,-1,-,-
528,axial,1,1,1,1,-
529,axial,2,2,-2,9,-
530,axial,7,7,0,1,-
531,smd,-,-,-,-,-
532,axial,7,7,8,-,-
533,axial,9,1,2,6,-
534,smd,-,-,-,-,-
535,axial,8,4,-2,8,-
536,axial,8,0,0,8,8
537,axial,3,6,6,2,-
538,axial,-2,2,4,8,9
539,axial,1,1,2,1,1
540,axial,5,6,0,2,1
541,axial,7,5,4,4,-
542,axial,3,0,0,2,1
543,axial,1,2,5,4,-
544,axial,4,3,2,4,1
545,smd,160,-,-,-,-
546,smd,131,-,-,-,-
547,axial,2,2,1,4,-
548,axial,1,2,4,-1,-
549,smd,621,-,-,-,-
550,axial,1,1,9,4,-
551,smd,1374,-,-,-,-
552,axial,3,4,0,3,1
553,axial,1,-,-,-,-
554,axial,1,1,-2,9,-
555,axial,9,-,-,-,-
556,axial,1,2,0,0,2
557,axial,0,1,1,1,-
558,axial,2,4,1,2,-
559,axial,1,7,0,2,-
560,axial,9,1,4,0,-
561,axial,9,4,1,1,-
562,axial,4,7,3,4,-
563,axial,0,2,2,2,-
564,smd,5113,-,-,-,-
565,axial,2,6,2,1,-
566,axial,3,3,2,-1,-
567,axial,6,2,0,9,-
568,axial,3,2,3,2,-
569,axial,1,0,5,4,2
570,axial,1,5,0,-1,-
571,axial,3,6,0,2,1
572,smd,8452,-,-,-,-
573,axial,-1,3,5,7,-
574,axial,6,3,4,3,2
575,smd,249,-,-,-,-
576,axial,1,7,3,1,2
577,axial,2,7,4,1,-
578,axial,5,7,7,0,1
579,axial,6,1,0,2,-
580,axial,1,5,1,1,-
581,axial,4,1,1,1,-
582,axial,3,7,4,1,3
583,axial,8,8,8,-,-
584,axial,6,0,3,2,-
585,smd,6803,-,-,-,-
586,axial,4,0,-1,8,-
587,axial,4,7,0,-,-
588,axial,1,6,1,1,-
589,axial,1,1,5,2,1
590,axial,5,6,1,8,-
591,axial,1,2,0,2,-
592,axial,4,7,0,2,1
593,axial,4,9,2,2,-
594,smd,434,-,-,-,-
595,axial,5,4,1,1,-
596,axial,1,-,-,-,-
597,smd,9763,-,-,-,-
598,axial,6,1,2,1,-
599,axial,9,4,6,1,-
600,axial,1,0,4,1,-
601,axial,6,2,1,4,-
602,axial,6,8,9,-,-
603,smd,205,-,-,-,-
604,axial,6,2,3,-,-
605,smd,435,-,-,-,-
606,axial,4,5,3,2,-
607,axial,1,1,1,1,-
608,axial,2,1,5,1,-
609,smd,2465,-,-,-,-
610,axial,2,7,5,-,-
611,axial,2,2,0,-1,1
612,smd,1540,-,-,-,-
613,axial,2,6,7,1,2
614,axial,7,7,3,2,1
615,axial,1,1,1,8,-
616,axial,1,0,0,4,1
617,axial,1,0,3,1,-
618,axial,8,-2,2,-,-
619,axial,7,6,2,4,-1
620,axial,1,6,1,-1,-
621,axial,2,4,0,9,-
622,axial,1,0,1,8,-
623,smd,102,-,-,-,-
624,axial,1,5,0,4,2
625,smd,11R5,-,-,-,-
626,axial,3,3,4,3,-
627,axial,4,5,3,2,1
628,smd,-,-,-,-,-
629,axial,1,6,4,1,-
630,axial,1,0,0,4,2
631,axial,4,3,0,4,4
632,axial,0,6,1,1,-
633,axial,3,0,2,-2,-
634,axial,-2,1,-1,1,-
635,smd,0916,-,-,-,-
636,axial,1,1,2,-1,-
637,smd,44R2,-,-,-,-
638,axial,3,3,5,4,-
639,axial,1,1,0,4,1
640,axial,2,2,3,7,-
641,axial,3,7,4,4,3
642,axial,4,3,3,-1,-
643,axial,3,1,6,4,2
644,axial,-2,1,1,-1,-
645,axial,3,0,0,4,2
646,axial,5,6,2,-2,-
647,axial,7,5,3,-2,-
648,axial,1,1,5,2,1
649,axial,1,-2,-1,4,-
650,smd,473,-,-,-,-
651,axial,8,2,4,4,-
652,smd,45R3,-,-,-,-
653,smd,393,-,-,-,-
654,axial,1,1,0,2,2
655,smd,8321,-,-,-,-
656,axial,9,0,1,1,-
657,axial,8,6,-,-,-
658,axial,3,1,6,0,1
659,smd,-,-,-,-,-
660,axial,1,7,7,2,-
661,axial,3,3,-2,-,-
662,axial,6,1,0,3,-
663,axial,8,-2,8,-,-
664,axial,3,3,0,-2,-
665,axial,2,4,-,-,-
666,axial,6,2,3,9,-
667,axial,2,7,4,2,-
668,smd,2214,-,-,-,-
669,axial,6,2,1,-1,-
670,smd,621,-,-,-,-
671,axial,2,1,5,1,2
672,smd,5360,-,-,-,-
673,axial,1,7,2,2,-
674,axial,4,2,2,4,1
675,axial,1,2,7,3,1
676,axial,3,-2,-2,9,2
677,axial,1,1,3,9,-
678,axial,2,0,1,1,-
679,axial,1,6,5,2,1
680,smd,1430,-,-,-,-
681,axial,1,2,2,-,-
682,axial,8,4,-1,1,-
683,axial,3,0,1,2,-
684,axial,2,7,-1,-1,-
685,axial,9,8,9,1,1
686,axial,1,0,5,-1,-
687,smd,564,-,-,-,-
688,axial,4,4,2,4,2
689,axial,4,3,0,4,-
690,axial,9,0,4,2,-
691,axial,1,2,-1,-1,-
692,axial,1,7,5,1,2
693,axial,1,2,7,2,2
694,axial,5,1,6,2,2
695,axial,2,7,4,1,-
696,axial,3,3,2,0,1
697,axial,8,-,-,-,-
698,axial,7,1,5,0,1
699,axial,1,1,-2,-,-
700,axial,2,7,3,4,-
701,axial,1,6,2,4,2
702,axial,4,1,2,4,2
703,axial,5,6,1,9,-
704,smd,1370,-,-,-,-
705,axial,4,3,0,9,-
706,axial,1,5,1,-,-
707,axial,9,-2,-2,0,8
708,axial,2,0,0,5,-
709,axial,6,4,9,8,9
710,smd,561,-,-,-,-
711,smd,2102,-,-,-,-
712,axial,3,7,4,1,2
713,axial,3,9,1,-1,-
714,axial,7,5,1,9,-
715,axial,1,3,3,2,-
716,axial,8,-,-,-,-
717,axial,4,0,2,1,2
718,smd,1543,-,-,-,-
719,axial,2,4,4,-,-
720,axial,2,0,4,4,-
721,axial,1,1,2,1,-
722,axial,4,7,-1,4,-
723,smd,185,-,-,-,-
724,axial,1,5,0,2,-
725,axial,4,4,4,2,-
726,axial,8,6,8,6,-2
727,axial,1,3,3,4,-
728,axial,9,1,2,4,1
729,axial,1,2,2,2,-
730,axial,9,-1,-1,-1,1
731,axial,3,2,4,4,1
732,axial,4,7,2,9,-
733,axial,2,7,5,-2,-
734,axial,8,8,-,-,-
735,axial,9,1,4,8,9
736,smd,5621,-,-,-,-
737,axial,1,6,4,4,-
738,axial,5,1,2,9,-
739,axial,3,9,5,8,9
740,axial,6,2,4,-2,-
741,axial,1,0,4,-2,-
742,axial,2,3,6,6,-
743,smd,915,-,-,-,-
744,axial,2,2,3,9,-
745,axial,2,7,3,9,-
746,smd,155,-,-,-,-
747,axial,1,2,2,2,-
748,smd,-,-,-,-,-
749,axial,6,2,1,4,-
750,axial,1,1,4,9,-
751,axial,2,0,0,2,-
752,smd,3001,-,-,-,-
753,axial,1,1,2,1,-
754,smd,151,-,-,-,-
755,axial,8,1,9,4,-2
756,smd,6192,-,-,-,-
757,smd,301,-,-,-,-
758,axial,4,2,2,1,1
759,axial,2,1,0,1,1
760,axial,8,-2,8,-,-
761,smd,1583,-,-,-,-
762,axial,9,1,2,4,-
763,axial,2,7,4,-,-
764,axial,2,3,8,-1,-
765,smd,681,-,-,-,-
766,smd,754,-,-,-,-
767,smd,514,-,-,-,-
768,axial,2,7,0,1,2
769,axial,9,3,6,2,-
770,axial,6,1,1,1,-
771,axial,1,1,-2,1,-
772,axial,1,7,0,1,-
773,axial,1,2,2,9,-
774,axial,1,2,0,-1,-
775,axial,9,5,6,5,-
776,axial,3,6,1,9,-
777,axial,2,1,4,5,-
778,smd,7680,-,-,-,-
779,smd,565,-,-,-,-
780,axial,1,-2,3,-,-
781,smd,165,-,-,-,-
782,axial,5,6,0,4,2
783,axial,2,7,2,-,-
784,axial,1,5,-1,8,-
785,axial,1,6,6,2,-
786,axial,4,5,6,1,-
787,axial,1,5,4,4,-
788,axial,1,1,5,8,-
789,axial,1,7,0,2,-
790,axial,7,5,2,-,-
791,axial,2,2,0,3,-
792,axial,2,2,4,2,-
793,axial,6,1,4,1,-
794,axial,4,1,4,1,-
795,axial,5,1,-1,-1,-
796,axial,9,7,3,2,-
797,axial,8,-,-,-,-
798,axial,7,8,-1,-,-
799,axial,2,0,6,7,5
800,axial,1,1,3,9,-
801,axial,3,9,8,4,8
802,axial,6,2,2,1,-
803,axial,9,8,1,8,6
804,axial,3,3,9,4,-
805,axial,4,5,4,1,-
806,axial,9,4,7,2,-
807,axial,1,0,0,2,2
808,axial,1,0,4,4,-
809,axial,1,0,1,-1,-
810,axial,-2,1,5,-1,-
811,axial,1,2,7,3,2
812,axial,1,1,-2,2,-
813,axial,2,2,2,1,-
814,axial,1,0,2,3,1
815,axial,5,4,-1,1,-
816,axial,2,3,2,2,2
817,smd,1542,-,-,-,-
818,axial,1,3,0,9,-
819,axial,-2,1,1,-1,-
820,smd,0606,-,-,-,-
821,axial,7,1,5,4,2
822,axial,-2,1,-2,1,-2
823,axial,1,-2,1,8,9
824,axial,1,4,0,0,1
825,axial,1,5,5,4,-
826,axial,6,0,3,1,-
827,axial,4,7,3,4,-
828,axial,2,0,3,1,-
829,axial,8,8,5,7,8
830,axial,4,4,5,1,-
831,axial,3,3,4,4,-
832,smd,621,-,-,-,-
833,smd,-,-,-,-,-
834,axial,1,3,3,1,-
835,smd,8454,-,-,-,-
836,axial,1,4,1,0,1
837,axial,1,8,9,8,6
838,axial,7,1,5,4,2
839,axial,0,1,3,2,-
840,axial,1,7,7,5,4
841,axial,5,1,0,4,1
842,axial,4,4,0,2,-
843,axial,1,1,5,4,1
844,axial,2,2,9,8,9
845,axial,2,2,0,2,2
846,axial,4,1,1,8,-
847,axial,1,2,1,1,2
848,axial,1,1,7,4,3
849,smd,868,-,-,-,-
850,axial,2,2,4,4,-
851,axial,1,0,0,2,-
852,axial,1,3,2,2,-
853,axial,6,8,0,8,9
854,axial,1,6,3,9,-
855,axial,1,4,-1,-2,-
856,axial,1,4,4,1,-
857,axial,3,3,0,0,2
858,axial,0,0,3,2,2
859,axial,6,2,1,9,-
860,axial,1,2,2,4,-
861,axial,6,6,9,4,-
862,axial,4,4,2,2,2
863,axial,1,5,0,9,-
864,axial,8,1,1,-1,-
865,axial,8,1,0,2,-
866,axial,1,0,0,4,1
867,axial,2,0,5,3,1
868,axial,2,2,5,7,4
869,axial,3,4,0,2,1
870,axial,1,5,-1,8,-
871,smd,30R0,-,-,-,-
872,axial,5,4,-2,-,-
873,smd,395,-,-,-,-
874,axial,2,3,2,0,4
875,axial,4,7,2,-1,-
876,axial,8,6,5,4,-
877,axial,2,3,3,1,-
878,axial,1,2,7,1,-
879,axial,3,6,0,1,2
880,axial,5,1,-1,-2,-
881,axial,1,5,4,1,1
882,axial,1,0,7,2,1
883,axial,9,5,1,0,-
884,smd,220,-,-,-,-
885,axial,3,2,2,1,-
886,axial,1,0,4,4,3
887,axial,1,6,-1,4,2
888,axial,5,7,6,4,2
889,axial,8,-,-,-,-
890,axial,1,1,9,4,-
891,axial,4,0,0,2,-
892,axial,1,7,0,4,1
893,axial,4,0,2,3,1
894,axial,1,-,-,-,-
895,axial,8,8,-,-,-
896,smd,560,-,-,-,-
897,axial,1,2,1,4,2
898,smd,5493,-,-,-,-
899,axial,1,0,1,1,-
900,axial,7,1,5,4,2
901,axial,5,1,0,4,-
902,axial,1,2,2,4,-
903,axial,3,6,4,4,-
904,axial,7,1,0,1,-
905,axial,2,4,4,4,-
906,axial,1,1,1,2,-
907,axial,2,0,1,8,-
908,axial,1,2,1,1,-1
909,axial,0,3,3,2,-
910,axial,8,1,6,3,-
911,axial,1,0,0,2,2
912,axial,2,2,4,4,-
